GOBPID,FDR,Term,Size
GO:0006396,8.352307465913272e-17,RNA processing,602
GO:0009247,8.429509146997796e-15,glycolipid biosynthetic process,18
GO:1903509,8.429509146997796e-15,liposaccharide metabolic process,18
GO:0006664,8.429509146997796e-15,glycolipid metabolic process,18
GO:0042274,3.338398439194779e-14,ribosomal small subunit biogenesis,42
GO:0001578,3.338398439194779e-14,microtubule bundle formation,34
GO:0044743,8.118480514097586e-14,protein transmembrane import into intracellular organelle,19
GO:0050900,3.1712149717720745e-12,leukocyte migration,19
GO:0097529,3.1712149717720745e-12,myeloid leukocyte migration,19
GO:0097530,3.1712149717720745e-12,granulocyte migration,19
GO:0030595,3.1712149717720745e-12,leukocyte chemotaxis,19
GO:1990266,3.1712149717720745e-12,neutrophil migration,19
GO:0070304,1.2216355676001917e-11,positive regulation of stress-activated protein kinase signaling cascade,27
GO:0032874,1.2216355676001917e-11,positive regulation of stress-activated MAPK cascade,27
GO:0046330,1.2216355676001917e-11,positive regulation of JNK cascade,27
GO:0050878,3.8962052078841165e-11,regulation of body fluid levels,23
GO:0000226,5.548363952125957e-10,microtubule cytoskeleton organization,137
GO:0060326,2.355598597991845e-9,cell chemotaxis,24
GO:0009225,2.832208797188818e-9,nucleotide-sugar metabolic process,27
GO:0060271,4.280735807526319e-9,cilium assembly,140
GO:0006400,5.600261202002551e-9,tRNA modification,25
GO:0046835,1.3707481748545435e-8,carbohydrate phosphorylation,26
GO:0007017,1.710047667553596e-8,microtubule-based process,295
GO:0034470,1.710047667553596e-8,ncRNA processing,176
GO:0070286,5.15272410354281e-8,axonemal dynein complex assembly,25
GO:0035082,5.15272410354281e-8,axoneme assembly,25
GO:0072330,5.15272410354281e-8,monocarboxylic acid biosynthetic process,35
GO:0006633,5.15272410354281e-8,fatty acid biosynthetic process,35
GO:0006793,5.15272410354281e-8,phosphorus metabolic process,1654
GO:0120031,5.15272410354281e-8,plasma membrane bounded cell projection assembly,156
GO:0030031,5.15272410354281e-8,cell projection assembly,156
GO:0051090,5.15272410354281e-8,regulation of DNA-binding transcription factor activity,33
GO:0050891,5.15272410354281e-8,multicellular organismal water homeostasis,9
GO:0016925,5.15272410354281e-8,protein sumoylation,9
GO:0019374,5.15272410354281e-8,galactolipid metabolic process,9
GO:0019375,5.15272410354281e-8,galactolipid biosynthetic process,9
GO:0035735,5.15272410354281e-8,intraciliary transport involved in cilium assembly,9
GO:0072662,5.15272410354281e-8,protein localization to peroxisome,9
GO:0072663,5.15272410354281e-8,establishment of protein localization to peroxisome,9
GO:0045292,5.15272410354281e-8,"mRNA cis splicing, via spliceosome",9
GO:0090024,5.15272410354281e-8,negative regulation of neutrophil chemotaxis,9
GO:0034123,5.15272410354281e-8,positive regulation of toll-like receptor signaling pathway,9
GO:0034134,5.15272410354281e-8,toll-like receptor 2 signaling pathway,9
GO:0034135,5.15272410354281e-8,regulation of toll-like receptor 2 signaling pathway,9
GO:0034137,5.15272410354281e-8,positive regulation of toll-like receptor 2 signaling pathway,9
GO:0015919,5.15272410354281e-8,peroxisomal membrane transport,9
GO:0070254,5.15272410354281e-8,mucus secretion,9
GO:0070255,5.15272410354281e-8,regulation of mucus secretion,9
GO:0070257,5.15272410354281e-8,positive regulation of mucus secretion,9
GO:0006011,5.15272410354281e-8,UDP-glucose metabolic process,9
GO:0006013,5.15272410354281e-8,mannose metabolic process,9
GO:0006000,5.15272410354281e-8,fructose metabolic process,9
GO:0006003,5.15272410354281e-8,"fructose 2,6-bisphosphate metabolic process",9
GO:0045730,5.15272410354281e-8,respiratory burst,9
GO:0000463,5.15272410354281e-8,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",9
GO:0046503,5.15272410354281e-8,glycerolipid catabolic process,9
GO:0000469,5.15272410354281e-8,cleavage involved in rRNA processing,9
GO:0000470,5.15272410354281e-8,maturation of LSU-rRNA,9
GO:0071623,5.15272410354281e-8,negative regulation of granulocyte chemotaxis,9
GO:1903426,5.15272410354281e-8,regulation of reactive oxygen species biosynthetic process,9
GO:1903428,5.15272410354281e-8,positive regulation of reactive oxygen species biosynthetic process,9
GO:0002686,5.15272410354281e-8,negative regulation of leukocyte migration,9
GO:0002689,5.15272410354281e-8,negative regulation of leukocyte chemotaxis,9
GO:1903409,5.15272410354281e-8,reactive oxygen species biosynthetic process,9
