GOBPID,FDR,Term,Size
GO:0006081,1.1069782449641502e-26,cellular aldehyde metabolic process,18
GO:0009636,8.399623232034095e-21,response to toxic substance,27
GO:0098754,8.399623232034095e-21,detoxification,27
GO:0097237,8.399623232034095e-21,cellular response to toxic substance,27
GO:1990748,8.399623232034095e-21,cellular detoxification,27
GO:0044248,7.351671208527442e-16,cellular catabolic process,909
GO:0034637,1.1292715645047717e-15,cellular carbohydrate biosynthetic process,38
GO:0009056,5.2349266908032316e-14,catabolic process,1013
GO:0110095,1.807762173069279e-13,cellular detoxification of aldehyde,9
GO:0110096,1.807762173069279e-13,cellular response to aldehyde,9
GO:0006011,1.807762173069279e-13,UDP-glucose metabolic process,9
GO:0042743,1.807762173069279e-13,hydrogen peroxide metabolic process,9
GO:0042744,1.807762173069279e-13,hydrogen peroxide catabolic process,9
GO:0046185,1.807762173069279e-13,aldehyde catabolic process,9
GO:0046292,1.807762173069279e-13,formaldehyde metabolic process,9
GO:0046294,1.807762173069279e-13,formaldehyde catabolic process,9
GO:0044281,2.1523389064657072e-13,small molecule metabolic process,816
GO:0016051,6.981371049969171e-13,carbohydrate biosynthetic process,55
GO:0061919,7.092466881571068e-13,process utilizing autophagic mechanism,168
GO:0006914,7.092466881571068e-13,autophagy,168
GO:0044282,7.30096925770934e-13,small molecule catabolic process,155
GO:0030111,3.3328912324491607e-12,regulation of Wnt signaling pathway,70
GO:0051962,3.3328912324491607e-12,positive regulation of nervous system development,8
GO:0006020,3.3328912324491607e-12,inositol metabolic process,8
GO:0006021,3.3328912324491607e-12,inositol biosynthetic process,8
GO:0043392,3.3328912324491607e-12,negative regulation of DNA binding,8
GO:0032480,3.3328912324491607e-12,negative regulation of type I interferon production,8
GO:1903828,3.3328912324491607e-12,negative regulation of cellular protein localization,8
GO:0032720,3.3328912324491607e-12,negative regulation of tumor necrosis factor production,8
GO:1903556,3.3328912324491607e-12,negative regulation of tumor necrosis factor superfamily cytokine production,8
GO:0010720,3.3328912324491607e-12,positive regulation of cell development,8
GO:1900181,3.3328912324491607e-12,negative regulation of protein localization to nucleus,8
GO:0051101,3.3328912324491607e-12,regulation of DNA binding,8
GO:0050769,3.3328912324491607e-12,positive regulation of neurogenesis,8
GO:0009133,1.1950663314946285e-10,nucleoside diphosphate biosynthetic process,7
GO:0007528,1.1950663314946285e-10,neuromuscular junction development,7
GO:0030329,1.1950663314946285e-10,prenylcysteine metabolic process,7
GO:0051100,1.2817308264498167e-10,negative regulation of binding,10
GO:0048585,1.4714333728547115e-10,negative regulation of response to stimulus,183
GO:0050687,3.966761381530119e-10,negative regulation of defense response to virus,11
GO:0050688,3.966761381530119e-10,regulation of defense response to virus,11
GO:0002832,3.966761381530119e-10,negative regulation of response to biotic stimulus,11
GO:0031348,3.966761381530119e-10,negative regulation of defense response,11
GO:0050777,3.966761381530119e-10,negative regulation of immune response,11
GO:1900180,1.137198782453301e-9,regulation of protein localization to nucleus,12
GO:1902221,1.1925453869222056e-9,erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process,17
GO:1902222,1.1925453869222056e-9,erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process,17
GO:0006558,1.1925453869222056e-9,L-phenylalanine metabolic process,17
GO:0006570,1.1925453869222056e-9,tyrosine metabolic process,17
GO:0098869,2.2839717557666314e-9,cellular oxidant detoxification,18
GO:0060284,2.5006896933815466e-9,regulation of cell development,13
GO:0050767,2.5006896933815466e-9,regulation of neurogenesis,13
GO:0006793,2.9452252366192033e-9,phosphorus metabolic process,1654
GO:0030327,3.182408309030451e-9,prenylated protein catabolic process,6
GO:0021591,1.1090037074472178e-8,ventricular system development,15
GO:0046173,1.1090037074472178e-8,polyol biosynthetic process,15
GO:0032479,2.0575291967382605e-8,regulation of type I interferon production,16
GO:0051098,2.0575291967382605e-8,regulation of binding,16
GO:0032606,2.0575291967382605e-8,type I interferon production,16
GO:0044262,2.80993429309257e-8,cellular carbohydrate metabolic process,109
GO:0003356,3.614612912475139e-8,regulation of cilium beat frequency,17
GO:0036158,3.614612912475139e-8,outer dynein arm assembly,17
GO:0006662,4.1130683311743476e-8,glycerol ether metabolic process,24
GO:0018904,4.1130683311743476e-8,ether metabolic process,24
GO:0006979,4.1130683311743476e-8,response to oxidative stress,24
GO:0051960,5.669402889991726e-8,regulation of nervous system development,18
GO:0003352,5.669402889991726e-8,regulation of cilium movement,18
GO:0140546,5.669402889991726e-8,defense response to symbiont,18
GO:0051607,5.669402889991726e-8,defense response to virus,18
GO:0009895,5.669402889991726e-8,negative regulation of catabolic process,25
GO:0031330,5.669402889991726e-8,negative regulation of cellular catabolic process,25
GO:0010507,5.669402889991726e-8,negative regulation of autophagy,25
GO:0055086,5.9343918472131426e-8,nucleobase-containing small molecule metabolic process,249
GO:0009072,8.134016864224763e-8,aromatic amino acid family metabolic process,26
GO:0009074,8.134016864224763e-8,aromatic amino acid family catabolic process,26
GO:0016055,8.618470693095381e-8,Wnt signaling pathway,134
GO:1905114,8.618470693095381e-8,cell surface receptor signaling pathway involved in cell-cell signaling,134
GO:0009250,1.0904792720569212e-7,glucan biosynthetic process,27
GO:0009225,1.0904792720569212e-7,nucleotide-sugar metabolic process,27
GO:0000271,1.0904792720569212e-7,polysaccharide biosynthetic process,27
GO:0033692,1.0904792720569212e-7,cellular polysaccharide biosynthetic process,27
GO:0005978,1.0904792720569212e-7,glycogen biosynthetic process,27
GO:0045746,1.260656707054597e-7,negative regulation of Notch signaling pathway,20
GO:0002683,1.260656707054597e-7,negative regulation of immune system process,20
GO:0032102,1.260656707054597e-7,negative regulation of response to external stimulus,20
GO:0034656,1.260656707054597e-7,nucleobase-containing small molecule catabolic process,20
GO:0198738,1.5371649791330692e-7,cell-cell signaling by wnt,140
GO:0071706,1.8405418371442773e-7,tumor necrosis factor superfamily cytokine production,21
GO:0001818,1.8405418371442773e-7,negative regulation of cytokine production,21
GO:0045597,1.8405418371442773e-7,positive regulation of cell differentiation,21
GO:1903555,1.8405418371442773e-7,regulation of tumor necrosis factor superfamily cytokine production,21
GO:0032680,1.8405418371442773e-7,regulation of tumor necrosis factor production,21
GO:0032640,1.8405418371442773e-7,tumor necrosis factor production,21
GO:0044237,1.8485705978911432e-7,cellular metabolic process,5419
GO:0019637,2.2357334795733832e-7,organophosphate metabolic process,437
GO:0060632,2.7384926827164296e-7,regulation of microtubule-based movement,22
GO:0042219,4.2530544684765746e-7,cellular modified amino acid catabolic process,16
GO:0008152,4.687512242173818e-7,metabolic process,5894
GO:0070286,8.302199841811675e-7,axonemal dynein complex assembly,25
GO:0035082,8.302199841811675e-7,axoneme assembly,25
GO:0051239,8.531551238366077e-7,regulation of multicellular organismal process,141
GO:0072593,1.0981224119722384e-6,reactive oxygen species metabolic process,35
GO:0006796,1.1444404494008385e-6,phosphate-containing compound metabolic process,1618
GO:0008593,1.5653422805068896e-6,regulation of Notch signaling pathway,27
GO:0009968,2.185894096747503e-6,negative regulation of signal transduction,151
GO:0010648,2.185894096747503e-6,negative regulation of cell communication,151
GO:0023057,2.185894096747503e-6,negative regulation of signaling,151
GO:0050808,2.3645862520267932e-6,synapse organization,20
GO:0019439,3.3355199449868616e-6,aromatic compound catabolic process,192
GO:1901361,3.3355199449868616e-6,organic cyclic compound catabolic process,192
GO:0030177,3.451451336598617e-6,positive regulation of Wnt signaling pathway,40
GO:0030178,3.451451336598617e-6,negative regulation of Wnt signaling pathway,40
GO:0051094,3.546449186392503e-6,positive regulation of developmental process,30
GO:1901701,4.245665723500758e-6,cellular response to oxygen-containing compound,41
GO:1901293,4.353868481650528e-6,nucleoside phosphate biosynthetic process,125
GO:0007267,4.626092584868324e-6,cell-cell signaling,216
GO:0090407,5.7440002235230005e-6,organophosphate biosynthetic process,280
GO:0009615,5.8307365138154595e-6,response to virus,32
GO:0002831,7.2542265796798124e-6,regulation of response to biotic stimulus,33
GO:0019751,7.2542265796798124e-6,polyol metabolic process,33
GO:0006066,7.2542265796798124e-6,alcohol metabolic process,56
GO:1901615,7.2542265796798124e-6,organic hydroxy compound metabolic process,56
GO:0046856,7.2542265796798124e-6,phosphatidylinositol dephosphorylation,44
GO:0098542,7.2542265796798124e-6,defense response to other organism,44
GO:0010506,7.2542265796798124e-6,regulation of autophagy,44
GO:0051241,7.2542265796798124e-6,negative regulation of multicellular organismal process,44
GO:0001578,8.934101959941559e-6,microtubule bundle formation,34
GO:1901700,1.0598091734397616e-5,response to oxygen-containing compound,46
GO:0035721,1.0891137857399224e-5,intraciliary retrograde transport,25
GO:0031347,1.0891137857399224e-5,regulation of defense response,35
GO:1901617,1.0891137857399224e-5,organic hydroxy compound biosynthetic process,35
GO:0046165,1.0891137857399224e-5,alcohol biosynthetic process,35
GO:1901575,1.540026813742228e-5,organic substance catabolic process,849
GO:0090503,1.6814117315179993e-5,"RNA phosphodiester bond hydrolysis, exonucleolytic",37
GO:0070887,1.963861505570112e-5,cellular response to chemical stimulus,199
GO:0046839,3.415722672240708e-5,phospholipid dephosphorylation,53
GO:0051240,4.453640111147365e-5,positive regulation of multicellular organismal process,42
GO:2000026,4.453640111147365e-5,regulation of multicellular organismal development,42
GO:0007369,6.188852029986343e-5,gastrulation,57
GO:0030330,7.768648565243022e-5,"DNA damage response, signal transduction by p53 class mediator",14
GO:0072331,7.768648565243022e-5,signal transduction by p53 class mediator,14
GO:0003341,8.73543298351379e-5,cilium movement,46
GO:0006644,8.836324256907985e-5,phospholipid metabolic process,202
GO:0015985,8.913220414142223e-5,"energy coupled proton transport, down electrochemical gradient",34
GO:0006754,8.913220414142223e-5,ATP biosynthetic process,34
GO:0007178,9.037687405564307e-5,transmembrane receptor protein serine/threonine kinase signaling pathway,60
GO:0001816,9.873273463792263e-5,cytokine production,47
GO:0001817,9.873273463792263e-5,regulation of cytokine production,47
GO:0007166,1.0085081149362836e-4,cell surface receptor signaling pathway,434
GO:0006952,1.0085081149362836e-4,defense response,61
GO:1903827,1.1351323536500586e-4,regulation of cellular protein localization,48
GO:0006073,1.2560517148444648e-4,cellular glucan metabolic process,63
GO:0044264,1.2560517148444648e-4,cellular polysaccharide metabolic process,63
GO:0006112,1.2560517148444648e-4,energy reserve metabolic process,63
GO:0044042,1.2560517148444648e-4,glucan metabolic process,63
GO:0005976,1.2560517148444648e-4,polysaccharide metabolic process,63
GO:0005977,1.2560517148444648e-4,glycogen metabolic process,63
GO:0006260,1.2673611624863684e-4,DNA replication,49
GO:0009607,1.384361080537344e-4,response to biotic stimulus,64
GO:0043207,1.384361080537344e-4,response to external biotic stimulus,64
GO:0046034,1.384361080537344e-4,ATP metabolic process,64
GO:0051707,1.384361080537344e-4,response to other organism,64
GO:0007219,1.4296011873538687e-4,Notch signaling pathway,50
GO:0048523,1.4691292155176677e-4,negative regulation of cellular process,682
GO:0071704,1.8198921964359408e-4,organic substance metabolic process,5472
GO:0042770,1.9113798131967826e-4,signal transduction in response to DNA damage,17
GO:0007018,2.041708134225002e-4,microtubule-based movement,177
GO:0009141,2.041708134225002e-4,nucleoside triphosphate metabolic process,53
GO:0009142,2.041708134225002e-4,nucleoside triphosphate biosynthetic process,53
GO:0009144,2.041708134225002e-4,purine nucleoside triphosphate metabolic process,53
GO:0009145,2.041708134225002e-4,purine nucleoside triphosphate biosynthetic process,53
GO:0009201,2.041708134225002e-4,ribonucleoside triphosphate biosynthetic process,53
GO:0009205,2.041708134225002e-4,purine ribonucleoside triphosphate metabolic process,53
GO:0009206,2.041708134225002e-4,purine ribonucleoside triphosphate biosynthetic process,53
GO:0032880,2.041708134225002e-4,regulation of protein localization,53
GO:0009199,2.041708134225002e-4,ribonucleoside triphosphate metabolic process,53
GO:0044782,2.1389571853660903e-4,cilium organization,178
GO:0016236,2.3036881186474487e-4,macroautophagy,69
GO:0045595,2.3036881186474487e-4,regulation of cell differentiation,54
GO:0007420,2.577671011975821e-4,brain development,55
GO:0032886,2.577671011975821e-4,regulation of microtubule-based process,55
GO:0090501,2.577671011975821e-4,RNA phosphodiester bond hydrolysis,55
GO:0051270,2.577671011975821e-4,regulation of cellular component movement,55
